Finding_ID,Severity,Section,Review_Recommendation,Disposition,Reconciliation_Against_DR1.0,Implementation_in_DR1.1,Method_Version_Impact,Evidence_Files,Source_Status
C-01,CRITICAL,Ch 2,"Define A0–A4 levels with granting rules, evidence thresholds, worked examples",PARTIALLY_ACCEPTED,DR1.0 already defined A0–A4 and examples; granting/evidence rules needed strengthening. The review’s alternative autonomy-ladder semantics are not adopted.,Expanded Ch 2; expanded AUTHORIZATION_MATRIX.csv; added AUTHORIZATION_GRANT_REGISTER.csv.,No method-version change; clarification of existing semantics.,chapter_02.md; templates/AUTHORIZATION_MATRIX.csv; templates/AUTHORIZATION_GRANT_REGISTER.csv,EXPLICIT
C-02,CRITICAL,Ch 8,State the five questions of the decision model explicitly,ALREADY_SATISFIED,DR1.0 Chapter 8 §8.1 already stated Q1–Q5 explicitly.,Retained; added adjacent evidence/decision refinements.,None.,chapter_08.md,EXPLICIT
C-03,CRITICAL,App A,Create or de-list CHANGE_REQUEST_TEMPLATE.md and INCIDENT_REMEDIATION_RECORD.md,ALREADY_SATISFIED,Equivalent DR1.0 files already existed under lowercase filenames; the review missed them.,Retained and strengthened; Appendix A now indexes them explicitly.,None.,appendix_a_templates.md; templates/change_request_template.md; templates/incident_and_remediation_template.md,EXPLICIT
C-04,CRITICAL,Ch 12,Define concrete maturity levels M0–M4 with evidence-scored criteria,PARTIALLY_ACCEPTED,DR1.0 already defined Level 0–5. Replacing it with M0–M4 would alter method semantics.,"Kept Level 0–5; added evidence-scored dimensions, regression, and assessment template.",No method-version change; proposed renumbering not adopted.,chapter_12.md; templates/maturity-assessment.md,EXPLICIT
C-05,CRITICAL,Ch 3/4,Resolve agent-lifecycle duplication with explicit ownership,ACCEPTED,Lifecycle appeared in both chapters.,Ch 3 owns role design; Ch 4 is authoritative lifecycle state-machine home.,Documentation architecture only.,chapter_03.md; chapter_04.md,EXPLICIT
C-06,CRITICAL,App G,Add Version-Control Log table,ACCEPTED,DR1.0 had change-log guidance but not a compact release log.,Added truthful DR1.0→DR1.1 log; did not invent unsupported earlier history.,Documentation release becomes 1.1; method stays 1.2.,appendix_g_change_log.md,EXPLICIT
C-07,CRITICAL,Ch 11,Add AI-error rate and remediation-time KPIs; complete four-category coverage,ACCEPTED,Adjacent metrics existed but required categories were not explicit.,Added four-category table and named KPI rows.,None.,chapter_11.md; templates/KPI_CATALOG.csv,EXPLICIT
H-01,HIGH,Introduction,Add adoption success criteria and limitations subsection,ACCEPTED,Not explicit enough in DR1.0.,"Added success criteria, limitations/overkill guidance, and proportional-governance framing.",None.,introduction.md,EXPLICIT
H-02,HIGH,Ch 1,Add principles→mechanisms traceability table and conflict-resolution rule,ACCEPTED,Principles existed but mapping/precedence was implicit.,"Added traceability table, conflict precedence, and operational fail-closed definition.",Clarification only.,chapter_01.md,EXPLICIT
H-03,HIGH,Ch 2,"Add delegation expiry/revocation, authorization-grant register, Human Decision state machine",ACCEPTED,Standing delegation existed conceptually but lifecycle/state details were incomplete.,"Added validity/revocation, grant register, and explicit Human Decision states.",Clarification/reference control only.,chapter_02.md; templates/AUTHORIZATION_GRANT_REGISTER.csv,EXPLICIT
H-04,HIGH,Ch 3,"Add agent role cards, onboarding/retirement rules, no AI-to-AI authorization handoff",ACCEPTED,Role descriptions were not normalized as cards.,"Added eight role cards, onboarding/retirement, and no-authority-transfer rule.",Clarification of separation of duties.,chapter_03.md; templates/agent_manifest_example.yaml,EXPLICIT
H-05,HIGH,Ch 4,Add escalation matrix and retention/audit-trail requirements,ACCEPTED,Ownership and retention were implicit.,"Added escalation ownership, policy-defined timing, retention requirements, and protocol template.",None.,chapter_04.md; templates/escalation-protocol.md,EXPLICIT
