Path,SHA256,Artifact_ID,Schema_Version,Documentation_Release,Method_Version
BOOK_COMBINED.md,ed4962f8ae44f358cd9ec83c4ddd256ec0c9b88e2b62757c2fe64acdf0839bb1,,,1.1,1.2
EDITORIAL_REMEDIATION_REGISTER.csv,13dd2a861e04bbf1d665151b0e0e69892f8f4ac613925f725681a9e704cc018a,ART-EDIT-001,1.0,1.1,1.2
EDITORIAL_REMEDIATION_REGISTER.md,068e7eb0d1aafe15bf83626713f5f7072ae7709cab4ea7427f3ac32edd533349,ART-EDIT-002,1.0,1.1,1.2
PACKAGE_VALIDATION.md,a5f5516977dbecd8c41d9d5dd3973a9da0b38429477ee0f8b73a5fe0fce513fe,ART-VAL-001,1.0,1.1,1.2
README.md,5f36e11788e3468bfe58e8bc771b9aefa38a2191aec63ed4935f7d0e38010caa,,,1.1,1.2
RELEASE_NOTES.md,b545cd507057aae89e1cf5d261a7b5e914524a33256979629f3702c6f223831a,ART-REL-001,1.0,1.1,1.2
appendix_a_templates.md,0a8f4402631fda262e906400d7094d67406bd0c334fa63a68d08906cba2032e5,,,1.1,1.2
appendix_b_tools.md,ded5e9b9e1303f0d56781cecdad53f2a267da5232ec245bc56dd154f4bbb2c93,,,1.1,1.2
appendix_c_checklists.md,5847caa57020708cc0c4098c24e61e1081b25dff1e5274f4ea97e31ea8344cf7,,,1.1,1.2
appendix_d_case_studies.md,f23908d541bb65e22b42dda6a455e7d134689a5dcd5d4427c3e9ef6eb0d0e6c2,,,1.1,1.2
appendix_e_glossary.md,9209865bdd8eeef6fd4445c1519e219e6f63a93bb278b74386aacdfc9789735f,,,1.1,1.2
appendix_f_reference_configurations.md,9ab336f1f5b6103ddc4ba82ea2d92f2d66c3743bfe69493c018f295cdcf5cee2,,,1.1,1.2
appendix_g_change_log.md,5e0d535c16a5e1c6401532b6d660bb20664701cc3da1e7fe54e7149ec2c3ce96,,,1.1,1.2
appendix_h_faq.md,b63137f9d83ec8548592953ef30766fc99362fc91ab7b694d99086e287a02981,,,1.1,1.2
chapter_01.md,4b6460f8faa0b3a4324fa7f0b07e2147347dc927f67e7d267953790ec6cc4f3b,,,1.1,1.2
chapter_02.md,7b669790bb50bc5157efdb206af61a6f982ced39fd43bb6421f7384ce94c9816,,,1.1,1.2
chapter_03.md,ffcea31cc4942ba3caecb787aa080599579222f97111d8fb9cbb298b4b09525b,,,1.1,1.2
chapter_04.md,3e30b79cabcc5aa37f3cb5f47f412a07a70691d7ceebaaa5719dea99a20db62b,,,1.1,1.2
chapter_05.md,3e7a975ff6b757142b475f76a04038b0a8c9d8b96d9719e7f53b71a22b19074a,,,1.1,1.2
chapter_06.md,699f4e89ab893ceda84105b7cbe956900f25d343761d0048e997c429c780dca4,,,1.1,1.2
chapter_07.md,d44f5f68c9e1243db10e34c3a655c1e4fa5586a5b1af377e1a46b0b7035205fe,,,1.1,1.2
chapter_08.md,c10a29862a1a77247cfb94ab03f3d8fc8f21128480d5baeda6d9749e69bcfb89,,,1.1,1.2
chapter_09.md,6e859261fc0dccf6d8fac1eb3896fa239c98293392233b6f29e04fc30d57ba98,,,1.1,1.2
chapter_10.md,c66af184b9a747094a081e5ec30be2535ea6d3299b613b5e3c4670f629409dc3,,,1.1,1.2
chapter_11.md,9fcc7b775aad2eae7ec0b2939d6214ef7eb51f862ee23a9c4d3e375a7338134e,,,1.1,1.2
chapter_12.md,0b2426e4211730317a3be8ae1e8b964497cdb63787a0377001723b91fc30e47b,,,1.1,1.2
chapter_13.md,9339602937752a5965e0abc37ec9c8d79ab127113c0a184317e396be633ee8ae,,,1.1,1.2
introduction.md,aa13f8beefc3274c28ec7d4ab610bcfede3c63bab2f46561b1cd7c1b83ba6d51,,,1.1,1.2
outline.md,751dc7c997d61ee3852c28f7ce0fd974849acc8f1760e555f22bbcb09945e8c4,,,1.1,1.2
templates/AI_CONFIDENCE_DASHBOARD.yaml,eb627d82d7bc36228ddbb3e7d4a8dfc46c4488953bd69bb8ad2bc58d50c493c6,ART-DASH-001,1.0,1.1,1.2
templates/ARTIFACT_INDEX.csv,27e1cd5f5b0bc02d7a964f487d51fe5bdd8fd0eae0175f8db7e4b335b9319e68,ART-INDEX-001,1.0,1.1,1.2
templates/AUDIT_SAMPLE_LOG.csv,964f6dc3d2488156a69af32b6edca24255d4e7b210b457ceaeca92be2b6c23f9,ART-AUDIT-001,1.0,1.1,1.2
templates/AUTHORIZATION_GRANT_REGISTER.csv,5b63af66c1de792d02d5db4315f2dbc8fad2963cbae1365140fded8bc1c09e61,ART-AUTH-002,1.0,1.1,1.2
templates/AUTHORIZATION_MATRIX.csv,ffe80661c6da4c6e43594f75fb8a31524d3927efadf01f77da4487f4ec39ff1c,ART-AUTH-001,1.1,1.1,1.2
templates/EXCEPTION_REGISTER.csv,364d2e835e3ed783a9109efb6e4573a32392c72aa9f1d2736fea8939212f6bba,ART-EXC-001,1.0,1.1,1.2
templates/GAD_TERMINOLOGY_GLOSSARY.csv,e503cb4ebdf9cc33cbcb43e955e015258866640ee0246ef82868ca9f7e7b67b7,ART-GLOSS-001,1.0,1.1,1.2
templates/KPI_CATALOG.csv,ff76312d70bf3efe36c98dfec7c978e7fe416631ef9a087d9aa1b659a18f2efd,ART-KPI-001,1.1,1.1,1.2
templates/KPI_DASHBOARD.yaml,2003a492b9dce68649ced3ef650e8c807b023eb76d097cb1d78c3fd8de914c67,ART-DASH-002,1.0,1.1,1.2
templates/MODEL_AGENT_REGISTRY.yaml,539abd07bc634f9571d926307aa3ad52c3d03c940deff6678bccd9088de0c6f2,ART-MODEL-001,1.0,1.1,1.2
templates/PILOT_GATE_REGISTER.csv,ce13e4723ee10e70b0d5b1236c95dfc55009675bee63304d449b1534327c962d,ART-PILOT-001,1.1,1.1,1.2
templates/PILOT_REPORT_TEMPLATE.md,260e71c6d24fe028cdfcda7148b4503322aac39690528e89d3b360a7c7ea4357,ART-PILOT-002,1.0,1.1,1.2
templates/RACI_MATRIX.csv,0557d5ee907d62aaa8addebdde3dcfe25e235e10c6c59cf2d03bc2c25491fc3f,ART-RACI-001,1.0,1.1,1.2
templates/RISK_REGISTER.csv,773d450bc53e3119e9f5172e4d769afb35e372fccff08b2c79c5b7491631fad9,ART-RISK-001,1.0,1.1,1.2
templates/UNAUTHORIZED_ACTION_REGISTER.csv,bd300c9ffecb7a2040013321d53a0549ad2255a4652c9d0e8d44079f7e1e0cab,ART-UA-001,1.0,1.1,1.2
templates/agent_manifest_example.yaml,f74277e11a91152f479f5c6d5ee570c0c2d9e6f1307abb7351a659d3145c8bc2,ART-AGENT-001,1.1,1.1,1.2
templates/change-impact-assessment.md,403f813201769b109de6dd855f2edc4166161401ad034a0277ae78c6d16ead8a,ART-CHG-002,1.0,1.1,1.2
templates/change_request_template.md,afc8998ccbde0a15f81503219abba58ce05d71e283fa50718af5c17011b9fa06,ART-CHG-001,1.1,1.1,1.2
templates/decision_record_template.md,aad36f4709d6d449fc3c6fc69ca9d5a2131a01dd48338efa62dc3e2fddd48af5,ART-DEC-001,1.1,1.1,1.2
templates/escalation-protocol.md,724322004afd177f09fa0e0f628c29cb6e890972f2f6dd131e5e767489abd568,ART-ESC-001,1.0,1.1,1.2
templates/evidence_package_template.md,f2fef86a3fa1591e1abccdf79b355e00a85477700ecdea10caf5345970d3d799,ART-EVID-001,1.1,1.1,1.2
templates/github_ruleset_reference.json,68631afe03fb246aaa1840a9fa16d6bee6e83a3dd14613f3b1c8f4b8b883e40b,ART-GH-001,1.1,1.1,1.2
templates/incident_and_remediation_template.md,48b78b773960950eb370e905d0db25b933dd3118008c11480de3d50f58223750,ART-REM-001,1.1,1.1,1.2
templates/jira_workflow_reference.yaml,ead7a88846882d60b0795db25aab53cf477e459547e0fa5aaaee0878ff3394a7,ART-JIRA-001,1.1,1.1,1.2
templates/maturity-assessment.md,507eb1ede16f43fb35b5fa3d46a86e4e80311745b0aabc26c2e650be7ce4fbf4,ART-MAT-001,1.0,1.1,1.2
templates/pilot_readiness_checklist.md,13a5d779d0916e262b0a0d3218ab8f84d1c9d3faa8490c22431fdcc34ad8f053,ART-PILOT-003,1.1,1.1,1.2
